epoch,split,iteration,loss
1,train,10,0.69775
1,train,20,0.69043
1,train,30,0.64307
1,train,40,0.68408
1,train,50,0.64844
1,train,60,0.71045
1,train,70,0.70117
1,train,80,0.71045
1,train,90,0.69482
1,train,100,0.6123
1,train,110,0.65771
1,train,120,0.76318
2,train,10,0.625
2,train,20,0.7168
2,train,30,0.62451
2,train,40,0.72998
2,train,50,0.7832
2,train,60,0.59766
2,train,70,0.6543
2,train,80,0.70703
2,train,90,0.69824
2,train,100,0.75293
2,train,110,0.66895
2,train,120,0.68701
3,train,10,0.68799
3,train,20,0.69189
3,train,30,0.66162
3,train,40,0.65723
3,train,50,0.70068
3,train,60,0.70898
3,train,70,0.65723
3,train,80,0.57275
3,train,90,0.625
3,train,100,0.68945
3,train,110,0.73438
3,train,120,0.69775
4,train,10,0.71826
4,train,20,0.56299
4,train,30,0.70264
4,train,40,0.54053
4,train,50,0.6001
4,train,60,0.71582
4,train,70,0.6958
4,train,80,0.67334
4,train,90,0.69922
4,train,100,0.71191
4,train,110,0.68213
4,train,120,0.61865
5,train,10,0.70459
5,train,20,0.60742
5,train,30,0.68701
5,train,40,0.74414
5,train,50,0.68945
5,train,60,0.74219
5,train,70,0.62646
5,train,80,0.68213
5,train,90,0.73633
5,train,100,0.62305
5,train,110,0.66943
5,train,120,0.73926
6,train,10,0.61816
6,train,20,0.66797
6,train,30,0.58057
6,train,40,0.80664
6,train,50,0.6875
6,train,60,0.66602
6,train,70,0.63135
6,train,80,0.68164
6,train,90,0.63037
6,train,100,0.65283
6,train,110,0.78271
6,train,120,0.66553
7,train,10,0.62842
7,train,20,0.7207
7,train,30,0.65527
7,train,40,0.6958
7,train,50,0.63672
7,train,60,0.59961
7,train,70,0.70264
7,train,80,0.57861
7,train,90,0.59473
7,train,100,0.70264
7,train,110,0.56494
7,train,120,0.67334
8,train,10,0.67139
8,train,20,0.60303
8,train,30,0.6377
8,train,40,0.58643
8,train,50,0.72168
8,train,60,0.55762
8,train,70,0.59424
8,train,80,0.64893
8,train,90,0.62354
8,train,100,0.62158
8,train,110,0.6748
8,train,120,0.62061
9,train,10,0.42554
9,train,20,0.61279
9,train,30,0.56445
9,train,40,0.46484
9,train,50,0.49878
9,train,60,0.54834
9,train,70,0.5459
9,train,80,0.71973
9,train,90,0.64307
9,train,100,0.5332
9,train,110,0.59082
9,train,120,0.61719
10,train,10,0.50098
10,train,20,0.5293
10,train,30,0.5
10,train,40,0.46997
10,train,50,0.56592
10,train,60,0.51025
10,train,70,0.32739
10,train,80,0.55078
10,train,90,0.61914
10,train,100,0.45386
10,train,110,0.54688
10,train,120,0.38745
11,train,10,0.38428
11,train,20,0.36011
11,train,30,0.44751
11,train,40,0.4043
11,train,50,0.3645
11,train,60,0.34009
11,train,70,0.30542
11,train,80,0.49268
11,train,90,0.41968
11,train,100,0.33618
11,train,110,0.53271
11,train,120,0.32739
12,train,10,0.43506
12,train,20,0.27734
12,train,30,0.49512
12,train,40,0.22241
12,train,50,0.39478
12,train,60,0.26831
12,train,70,0.31567
12,train,80,0.3877
12,train,90,0.25732
12,train,100,0.29541
12,train,110,0.25293
12,train,120,0.23865
13,train,10,0.34692
13,train,20,0.18311
13,train,30,0.22791
13,train,40,0.14478
13,train,50,0.18591
13,train,60,0.09467
13,train,70,0.1449
13,train,80,0.14319
13,train,90,0.12891
13,train,100,0.13525
13,train,110,0.36768
13,train,120,0.17798
14,train,10,0.12207
14,train,20,0.17017
14,train,30,0.09589
14,train,40,0.16284
14,train,50,0.07404
14,train,60,0.20801
14,train,70,0.07251
14,train,80,0.11633
14,train,90,0.0708
14,train,100,0.06143
14,train,110,0.28003
14,train,120,0.27148
15,train,10,0.07025
15,train,20,0.08093
15,train,30,0.0647
15,train,40,0.07452
15,train,50,0.07227
15,train,60,0.04681
15,train,70,0.07422
15,train,80,0.04526
15,train,90,0.14551
15,train,100,0.08746
15,train,110,0.10754
15,train,120,0.04987
